name,totplay,agelevel,is_school,howtogetthere,safelocation,shade,monitoring,programming,weather,seating,restrooms,drinkingw,activeplay,socialplay,creativeplay,naturualen,freeplay,compsum,modsum,graspvalue,playclass,subarea,created_at,updated_at,long,lat,google_placesid,imageurl,address,zip_code,pleasant_surrounding_rating,fencing_rating,disabilities_rating,musical_features_rating,swings_rating,bucket_swings_rating,sprayground_play_fountain_rating,skate_park_rating,streams_rating,slide_ratings,climbing_structures_rating,spinning_structures_rating,rocking_structure,balance_features_rating,sandbox_rating,playhouse_rating,stage_rating,path_for_wheeled_toys_rating,basketball_courts_rating,surface_marked_for_games_rating,open_space_for_ball_play,woods_rating,garden_rating,natural_elements_rating,other_cool_features,disabilities_comments,specificcomments,generalcomments
Abingdon Elementary School,1,2 to 12,TRUE,3,3,1,,,,2,1,1,,,,,,,,,,,,,-77.09608945,38.8398295,,,3035 S Abingdon Street,22206,2,2,1,1,1,1,1,1,1,2,1,1,2,1,1,2,1,2,1,1,1,1,2,3,,,,There is a track like structure in the open field next to park with pull up bars. It appears the buses come within walking distance of the school
Alcova Heights Park,2,2 to 12,FALSE,3,3,2,,,,3,3,2,,,,,,,,,,,,,-77.10241436,38.86119583,,,901 S George Mason Dr,22204,3,1,1,1,2,2,1,1,2,2,2,1,1,1,1,2,1,2,2,1,2,2,1,3,,,,Tire swing. Play area not enclosed by fence. Field for baseball or kickball.
Arlington Hall West Park,2,2 to 12,FALSE,3,3,1,,,,3,1,1,,,,,,,,,,,,,-77.10692529,38.8655682,,,290 S Taylor St,22204,3,1,2,1,2,1,1,1,1,2,2,1,1,2,1,1,1,1,1,1,2,1,1,,,,,Handicap swing; very large open space. Youth soccer field.
Arlington Mill Community & Senior Center,1,2 to 5,FALSE,3,3,1,,,,3,3,2,,,,,,,,,,,,,-77.1123008,38.85640274,,,909 S Dinwiddie St,22204,3,3,1,1,1,1,1,1,1,1,2,1,2,1,1,2,1,2,1,1,1,1,1,1,,,,"Easy access to public transit. Parking garage access off of Dinwiddie Street. The playground is not very visible from the street; take steps to it from street level, or access it from ground level of the community center. Restrooms are inside the community center."
Arlington Science Focus School,1,2 to 12,TRUE,2,3,2,,,,1,1,1,,,,,,,,,,,,,-77.10275772,38.89008654,,,1513 N Lincoln St,22201,2,2,1,1,1,1,1,1,1,2,2,1,1,2,1,1,1,1,2,2,2,1,2,1,,,,Across the street from Hayes Park.
Arlington Traditional School,1,2 to 12,TRUE,3,3,1,,,,3,1,1,,,,,,,,,,,,,-77.12206309,38.87992896,,,855 N Edison Street,22205,3,3,1,1,2,1,1,1,1,2,2,2,2,2,1,1,1,2,2,1,2,1,2,1,,,,"Three mulched play areas, divided by age group. No shade, access to water while playing. Ample parking in school parking lot."
Ashlawn Elementary School,1,2 to 12,TRUE,2,3,1,,,,2,1,1,,,,,,,,,,,,,-77.13607776,38.87322195,,,5950 8th RD N,22203,2,3,1,2,1,1,1,1,1,2,2,1,1,1,1,2,1,2,2,1,1,1,1,2,,,,Plenty of parking.
Aurora Hills Community and Senior center,1,2 to 12,FALSE,3,3,2,,,,3,3,2,,,,,,,,,,,,,-77.05901106,38.85744581,,,735 18th Street S,22202,3,2,1,1,2,2,1,1,1,2,2,1,1,1,2,1,1,2,2,1,2,2,1,3,,,,"Parking is available. Near Pentagon City metro, many bus routes. Restrooms open March to October. Restrooms also in library when the library is open. Adjacent to Virginia Highlands Park (spray park, tennis, basketball, open fields), a community center, and a library. Large sidewalk next to park where kids can ride bikes. Surfaces in this park are mulched (difficult for wheelchairs). "
Bailey's Branch Park,2,2 to 12,FALSE,3,3,1,,,,3,1,1,,,,,,,,,,,,,-77.1118644,38.85419346,,,990 S Columbus St,22204,3,2,1,1,2,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,2,1,1,1,,,,Street parking limited. Most of the play areas have a good amount of seating. Trees line one side of the park. Fenced-in swing area doesn't have any benches.
Barcroft Elementary School,1,2 to 12,TRUE,,,,,,,,1,1,,,,,,,,,,,,,-77.10779214,38.86161924,,,625 S Wakefield Road,22204,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
