Id,Name,Mapid,Totplay,2-5,5-12,Opentopublic,School,Howtogetthere,Safelocation,Shade,Monitoring,Programming,Weather,Seating,Restrooms,Drinkingw,Activeplay,Socialplay,Creativeplay,Naturualen,Freeplay,Compsum,Modsum,Graspvalue,Playclass,Subarea,Created at,Updated at,Lat,Long,Google placesid,Imageurl,Address,Zip Code,Pleasant Surrounding,Fencing,Features for Children with Disabilities,Musical Feature,Swings,Bucket swings (for younger children),Sprayground/Play fountain,Skate Park,Stream,Slide(s),Climbing Structure(s),Spinning Structure(s),Rocking Structure(s),Balance feature(s),Sandbox,Playhouse,Stage,Path for wheeled toys/small bikes,Basketball court,Surface marked for games,Open space for ball play,Woods,Garden,Natural Elements,Please indicate any other cool features not mentioned above,Comments on features for children with Disabilities,Specificcomments,Generalcomments
,Abingdon Elementary School,,1,2 ,2 ,2,"School playgrounds are open after school and on the weekends.  However, school activities, including Extended Day have priority use.  Children are expected to be supervised by an adult while using the playgrounds.",3,3,1,,,,2,1,1,,,,,,,,,,,,,-77.09608944910,38.83982949620,,,3035 S Abingdon Street,22206,2,2,1,1,1,1,1,1,1,2,1,1,2,1,1,2,1,2,1,1,1,1,2,3,,,,There is a track like structure in the open field next to park with pull up bars. It appears the buses come within walking distance of the school
,Alcova Heights Park,,2,2 ,2,3,,3,3,2,,,,3,3,2,,,,,,,,,,,,,-77.1024143594044,38.8611958305567,,,901 S George Mason Dr,22204,3,1,1,1,2,2,1,1,2,2,2,1,1,1,1,2,1,2,2,1,2,2,1,3,,,,Tire swing. Play area not enclosed by fence. Field for baseball or kickball.
,Arlington Hall West Park,,2,2 ,2 ,3,,3,3,1,,,,3,1,1,,,,,,,,,,,,,-77.1069252943253,38.8655682046825,,,290 S Taylor St,22204,3,1,2,1,2,1,1,1,1,2,2,1,1,2,1,1,1,1,1,1,2,1,1,,,,,Handicap swing; very large open space. Youth soccer field.
,Arlington Mill Community & Senior Center,,1,2 ,1,2,,3,3,1,,,,3,3,2,,,,,,,,,,,,,-77.1123008037025,38.8564027440221,,,909 S Dinwiddie St,22204,3,3,1,1,1,1,1,1,1,1,2,1,2,1,1,2,1,2,1,1,1,1,1,1,,,,"Easy access to public transit. Parking garage access off of Dinwiddie Street. The playground is not very visible from the street; take steps to it from street level, or access it from ground level of the community center. Restrooms are inside the community center."
,Arlington Science Focus School,,1,2 ,2,2,"School playgrounds are open after school and on the weekends.  However, school activities, including Extended Day have priority use.  Children are expected to be supervised by an adult while using the playgrounds.",2,3,2,,,,1,1,1,,,,,,,,,,,,,-77.10275772280,38.89008653530,,,1513 N Lincoln St,22201,2,2,1,1,1,1,1,1,1,2,2,1,1,2,1,1,1,1,2,2,2,1,2,1,,,,Across the street from Hayes Park.
,Arlington Traditional School,,1,2 ,2,2,"School playgrounds are open after school and on the weekends.  However, school activities, including Extended Day have priority use.  Children are expected to be supervised by an adult while using the playgrounds.",3,3,1,,,,3,1,1,,,,,,,,,,,,,-77.12206308650,38.87992895580,,,855 N Edison Street,22205,3,3,1,1,2,1,1,1,1,2,2,2,2,2,1,1,1,2,2,1,2,1,2,1,,,,"Three mulched play areas, divided by age group. No shade, access to water while playing. Ample parking in school parking lot."
,Ashlawn Elementary School,,1,2 ,2,2,"School playgrounds are open after school and on the weekends.  However, school activities, including Extended Day have priority use.  Children are expected to be supervised by an adult while using the playgrounds.",2,3,1,,,,2,1,1,,,,,,,,,,,,,-77.13607776100,38.87322195410,,,5950 8th RD N,22203,2,3,1,2,1,1,1,1,1,2,2,1,1,1,1,2,1,2,2,1,1,1,1,2,,,,Plenty of parking.
,Aurora Hills Community and Senior center,,1,2 ,2 ,3,,3,3,2,,,,3,3,2,,,,,,,,,,,,,-77.0590110648629,38.8574458090866,,,735 18th Street S,22202,3,2,1,1,2,2,1,1,1,2,2,1,1,1,2,1,1,2,2,1,2,2,1,3,,,,"Parking is available. Near Pentagon City metro, many bus routes. Restrooms open March to October. Restrooms also in library when the library is open. Adjacent to Virginia Highlands Park (spray park, tennis, basketball, open fields), a community center, and a library. Large sidewalk next to park where kids can ride bikes. Surfaces in this park are mulched (difficult for wheelchairs). "
,Bailey's Branch Park,,2,2 ,2,3,,3,3,1,,,,3,1,1,,,,,,,,,,,,,-77.1118643993789,38.8541934557353,,,990 S Columbus St,22204,3,2,1,1,2,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,2,1,1,1,,,,Street parking limited. Most of the play areas have a good amount of seating. Trees line one side of the park. Fenced-in swing area doesn't have any benches.
,Barcroft Elementary School,,1,2 ,2,2,"School playgrounds are open after school and on the weekends.  However, school activities, including Extended Day have priority use.  Children are expected to be supervised by an adult while using the playgrounds.",,,,,,,,1,1,,,,,,,,,,,,,-77.10779214010,38.86161923780,,,625 S Wakefield Road,22204,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Barcroft Park,,2,2 ,2 ,3,,3,3,3,,,,3,3,2,,,,,,,,,,,,,-77.1019018656985,38.8505482835489,,,4200 S Four Mile Run Dr,22206,3,2,2,1,2,2,1,1,2,2,2,1,2,1,2,1,1,2,2,1,2,2,1,2,,,,"Water fountains are seasonal. Barcroft in the Woods (behind baseball fields) has swings. The age 2-5 area is on wood chips, but has a few features for children with disabilities. Other features include soccer field, backboard for ball-throwing, many baseball fields."
,Barrett Elementary School,,1,2 ,2,2,"School playgrounds are open after school and on the weekends.  However, school activities, including Extended Day have priority use.  Children are expected to be supervised by an adult while using the playgrounds.",3,3,1,,,,2,1,1,,,,,,,,,,,,,-77.11201465700,38.87281335000,,,4401 N Henderson Road,22203,3,3,2,2,1,1,1,1,1,2,2,1,1,2,1,2,1,2,2,2,2,1,2,1,,,,"There are two play structures in this playground. The one for younger kids is behind the trailers, and includes a community garden and a cool mosaic. There is also a softball field with a seating area. Lubber Run Community Center is steps away, and bathrooms are available there during open hours. "
,Benjamin Banneker Park,,1,2 ,2,3,,3,3,3,,,,3,1,2,,,,,,,,,,,,,-77.1579594684825,38.883183323926,,,6620 N 18th St,22205,2,1,2,1,1,2,1,1,1,2,2,1,1,1,1,1,1,2,1,1,1,2,1,2,,,,Playground has limited play area and is not fenced. Lots of room to run around and interact with natural surroundings in a wooded area. Metro is very close to the area; parking is very limited because you must park on the side of the street beside the park. It is within a neighborhood and the W&OD trail runs through the park.
,Big Walnut Park,,1,1,2 ,3,,3,3,2,,,,3,1,1,,,,,,,,,,,,,-77.1321642338425,38.8917563948055,,,1915 N Harrison St,22207,3,2,2,1,1,1,1,1,1,1,2,2,2,2,2,1,1,1,1,1,1,2,2,3,,,,
,Bluemont Park,,2,2 ,2,3,,2,3,3,,,,3,3,2,,,,,,,,,,,,,-77.1339269625814,38.8735407851973,,,601 N Manchester St,22203,3,2,2,2,2,2,1,1,2,2,2,1,2,2,2,2,1,2,1,1,1,2,1,2,,,,Small climbing web feature. Playground not visible from parking lot; use the trail on the right-hand side as you face the school. Plenty of public parking at school during hours open to the public.
,Bon Air Park,,2,2 ,2,3,,3,3,1,,,,2,3,2,,,,,,,,,,,,,-77.1331156256506,38.8755918676999,,,850 N Lexington St,22205,3,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,1,2,2,2,3,,,,The playground is very hard to reach from 8th road north; access from the intersection of 5th road N and N Montague St. Has a boat ship theme; some of the play area has shade. There is a path for a nature walk that leads to two other playgrounds which are well shaded. Restrooms closed during part of the year. 
,Butler Holmes Park,,1,1,2 ,3,,3,3,2,,,,3,1,1,,,,,,,,,,,,,-77.08511059920,38.87271444690,,,101 S Barton Street,22204,3,2,2,1,2,1,1,1,1,1,2,2,1,1,1,1,1,1,2,1,1,1,1,3,,,,"Wheelchair accessible to park structures, no specific handicap structures. Picnic table is wheelchair-accessible."
,Campbell Elementary School,,1,2 ,2,2,"School playgrounds are open after school and on the weekends.  However, school activities, including Extended Day have priority use.  Children are expected to be supervised by an adult while using the playgrounds.",,,,,,,,1,1,,,,,,,,,,,,,-77.12611493400,38.85790082210,,,737 S Carlin Springs Road,22204,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Carlin Hall Community Center & Park,,2,2 ,2 ,3,,3,3,1,,,,2,1,1,,,,,,,,,,,,,-77.1261620489965,38.8631952255214,,,5711 4th St S,22204,3,3,1,1,2,1,1,1,1,2,2,1,2,1,1,1,1,1,1,1,2,1,2,2,,,,Not all benches have back rests. Not well marked as a public playground.
